date,close_price,open_price,high,low,volume,variation
2021-06-18,80500,81100,81100,80500,14.62,-0.49%
2021-06-17,80900,81200,81200,80700,0.39K,-1.10%
2021-06-16,81800,81400,81900,81100,2.27K,1.11%
2021-06-15,80900,80900,81200,80600,9.84,0.50%
2021-06-14,80500,80900,80900,80500,1.07K,-0.62%
2021-06-13,81000,81000,81000,81000,-,0.00%
2021-06-11,81000,81200,81700,80700,13.81,0.00%
2021-06-10,81000,81400,81400,80900,0.32K,-0.12%
2021-06-09,81100,81600,82000,81100,4.87K,-0.98%
2021-06-08,81900,82300,82600,81800,13.46K,0.00%
2021-06-07,81900,82700,82800,81600,3.95K,-0.36%
2021-06-06,82200,82200,82200,82200,-14.62,0.00%
2021-06-04,82200,82700,82700,81500,18.06,-0.72%
2021-06-03,82800,81300,83000,81100,12.10K,2.48%
2021-06-02,80800,80400,81400,80300,1.27K,0.25%
2021-06-01,80600,80400,81200,80100,4.06K,0.12%
2021-05-31,80500,80300,80600,79600,13.28,0.50%
2021-05-30,80100,80100,80100,80100,-,0.00%
2021-05-28,80100,79800,80400,79400,12.27,0.63%
2021-05-27,79600,80000,80000,79100,1.51K,-0.25%
2021-05-26,79800,80300,80500,79700,0.79K,-0.13%
2021-05-25,79900,80000,80400,79800,12.55,0.25%
2021-05-24,79700,80100,80400,79500,0.88K,-0.50%
2021-05-23,80100,80100,80100,80100,-,0.00%
2021-05-21,80100,80100,81500,79800,20.8,0.75%
2021-05-20,79500,79400,79700,79100,0.32K,-0.13%
2021-05-19,79600,79600,79600,79600,-,0.00%
2021-05-18,79600,79600,80000,79100,17.27,0.00%
2021-05-17,79600,80900,80900,79200,6.45K,-0.62%
2021-05-16,80100,80100,80100,80100,-,0.00%
2021-05-14,80100,79000,80300,78900,16.37,2.04%
2021-05-13,78500,78900,79600,78500,4.26K,-1.88%
2021-05-12,80000,80900,81100,79800,9.71K,-1.48%
2021-05-11,81200,82500,82500,81100,12.16K,-2.40%
2021-05-10,83200,82300,83500,81800,7.02K,1.59%
2021-05-09,81900,81900,81900,81900,-,0.00%
2021-05-07,81900,81800,82100,81500,12.8,-0.49%
2021-05-06,82300,81700,82300,81700,16.85,-0.36%
2021-05-05,82600,82600,82600,82600,-,0.00%
2021-05-04,82600,81900,82600,81800,12.29,1.10%
2021-05-03,81700,81000,82400,81000,15.58,0.25%
2021-05-02,81500,81500,81500,81500,-,0.00%
