date,close_price,open_price,high,low,volme,variation
2021-06-18,270000 ,269000 ,272000 ,269000 ,469.99K,0.37%
2021-06-17,269000 ,270000 ,272000 ,268500 ,0.55K,-0.92%
2021-06-16,271500 ,274500 ,274500 ,270000 ,0.20K,-1.27%
2021-06-15,275000 ,281000 ,281000 ,275000 ,0.73K,-2.14%
2021-06-14,281000 ,272500 ,281500 ,269500 ,0.07K,5.84%
2021-06-13,265500 ,265500 ,265500 ,265500 ,-,0.00%
2021-06-11,265500 ,267000 ,271500 ,264500 ,485.40K,0.00%
2021-06-10,265500 ,263500 ,267000 ,261000 ,0.59K,1.53%
2021-06-09,261500 ,270500 ,271000 ,261500 ,0.25K,-2.79%
2021-06-08,269000 ,265000 ,271000 ,265000 ,0.01K,1.70%
2021-06-07,264500 ,268000 ,269500 ,263500 ,0.03K,-0.94%
2021-06-06,267000 ,267000 ,267000 ,267000 ,-,0.00%
2021-06-04,267000 ,265500 ,268500 ,263000 ,447.37K,0.19%
2021-06-03,266500 ,266000 ,272000 ,264000 ,504.89K,0.00%
2021-06-02,266500 ,271500 ,272500 ,266500 ,0.31K,-2.20%
2021-06-01,272500 ,275500 ,275500 ,270500 ,0.35K,-0.73%
2021-05-31,274500 ,275000 ,278000 ,274000 ,429.17K,0.37%
2021-05-30,273500 ,273500 ,273500 ,273500 ,-,0.00%
2021-05-28,273500 ,269500 ,276000 ,268000 ,534.90K,1.67%
2021-05-27,269000 ,270500 ,272000 ,265000 ,0.06K,-0.55%
2021-05-26,270500 ,270000 ,273000 ,268500 ,0.12K,-0.55%
2021-05-25,272000 ,262500 ,272000 ,261000 ,0.73K,3.82%
2021-05-24,262000 ,269000 ,269000 ,261500 ,0.00K,-2.42%
2021-05-23,268500 ,268500 ,268500 ,268500 ,-,0.00%
2021-05-21,268500 ,272000 ,276000 ,268500 ,445.57K,-0.56%
2021-05-20,270000 ,269500 ,272500 ,269000 ,0.02K,-0.74%
2021-05-19,272000 ,272000 ,272000 ,272000 ,-,0.00%
2021-05-18,272000 ,265000 ,273500 ,263500 ,435.78K,0.93%
2021-05-17,269500 ,274000 ,276500 ,269000 ,0.19K,-0.37%
2021-05-16,270500 ,270500 ,270500 ,270500 ,-,0.00%
2021-05-14,270500 ,265000 ,271500 ,261500 ,565.24K,2.08%
2021-05-13,265000 ,260500 ,270500 ,260000 ,0.55K,0.95%
2021-05-12,262500 ,270500 ,274500 ,261500 ,4.06K,-2.96%
2021-05-11,270500 ,273500 ,276500 ,266500 ,0.31K,-1.64%
2021-05-10,275000 ,276500 ,277000 ,269000 ,1.93K,3.19%
2021-05-09,266500 ,266500 ,266500 ,266500 ,-,0.00%
