date,close_price,open_price,high,low,volue,variation
2021-06-18,235000,237000,238000,235000,992.95K,-0.63%
2021-06-17,236500,238500,239500,236000,0.20K,-1.25%
2021-06-16,239500,237000,243000,237000,1.28K,1.05%
2021-06-15,237000,238000,239000,235500,1.05K,-0.42%
2021-06-14,238000,239000,239500,235000,0.03K,-0.21%
2021-06-13,238500,238500,238500,238500,-,0.00%
2021-06-11,238500,237500,241500,237000,677.30K,1.06%
2021-06-10,236000,238500,240000,236000,0.08K,-1.46%
2021-06-09,239500,242500,245500,239000,0.34K,-1.64%
2021-06-08,243500,241500,245000,238500,1.66K,0.83%
2021-06-07,241500,244500,247500,240500,0.06K,0.00%
2021-06-06,241500,241500,241500,241500,-,0.00%
2021-06-04,241500,241500,243000,238000,1.33,1.26%
2021-06-03,238500,238500,240500,236500,1.03,0.21%
2021-06-02,238000,239000,243000,235500,0.03K,0.42%
2021-06-01,237000,235000,237500,233000,0.31K,0.85%
2021-05-31,235000,233000,235500,230500,1.13,1.29%
2021-05-30,232000,232000,232000,232000,-,0.00%
2021-05-28,232000,223500,232500,223000,2.39,5.22%
2021-05-27,220500,223000,223500,220000,0.08K,-1.34%
2021-05-26,223500,228000,229000,222500,0.17K,-1.76%
2021-05-25,227500,230000,230000,225000,0.16K,-0.22%
2021-05-24,228000,227500,231000,226000,0.01K,0.22%
2021-05-23,227500,227500,227500,227500,-,0.00%
2021-05-21,227500,227000,233000,225500,1.33,1.34%
2021-05-20,224500,228500,230500,224000,0.00K,-2.81%
2021-05-19,231000,231000,231000,231000,-,0.00%
2021-05-18,231000,227500,232500,226000,1.03,1.76%
2021-05-17,227000,232000,232500,225000,0.61K,-0.87%
2021-05-16,229000,229000,229000,229000,-,0.00%
2021-05-14,229000,234000,236000,226500,1.35,-0.22%
2021-05-13,229500,224000,232000,222500,0.05K,0.88%
2021-05-12,227500,226500,233000,223000,0.28K,0.44%
2021-05-11,226500,227000,228500,223500,1.96K,-1.31%
2021-05-10,229500,226000,230000,225500,0.50K,2.46%
2021-05-09,224000,224000,224000,224000,-,0.00%
2021-05-07,224000,223500,227000,221000,598.37K,0.22%
2021-05-06,223500,223000,225000,221000,643.13K,0.00%
2021-05-05,223500,223500,223500,223500,-,0.00%
2021-05-04,223500,220000,224500,217500,946.55K,2.52%
2021-05-03,218000,212000,222500,211000,1.18,2.83%
2021-05-02,212000,212000,212000,212000,-,0.00%
2021-04-30,212000,216000,216500,211000,1.16,-2.53%
2021-04-29,217500,221000,221000,217000,0.99K,-1.81%
2021-04-28,221500,220000,223500,219500,0.29K,0.68%
2021-04-27,220000,222500,222500,218000,0.13K,-0.68%
2021-04-26,221500,222000,222500,220000,0.14K,0.23%
2021-04-25,221000,221000,221000,221000,-,0.00%
2021-04-23,221000,225500,225500,220500,1.18,-2.21%
2021-04-22,226000,226500,231000,225500,0.66K,0.22%
2021-04-21,225500,228000,228000,224000,0.02K,-1.53%
2021-04-20,229000,230000,231000,228500,0.27K,-0.43%
