광역,기초,,건수,사망,중상,경상,부상,"대형
사고",사망,중상,경상,부상,,다발도,심각도,통합지수,,,,,,,
경기,수원시,수원역광장 교차로,86,0,13,69,4,0,0,14,122,9,0,9.933,15.467,13.253,2.01911E+15,41000,41110,0,0,0,1
경기,수원시,인계사거리(KBS수원센터 부근),56,1,16,38,1,0,1,22,73,3,1.79,7.867,12.767,10.807,2.01911E+15,41000,41110,2,0,0,14
경기,수원시,행정타운사거리(수원서부경찰서),56,1,17,38,0,0,1,19,68,1,1.79,8.1,11.567,10.18,2.01911E+15,41000,41110,0,0,0,7
경기,수원시,수원역광장 교차로,73,1,9,59,4,0,1,9,89,7,1.37,8.333,11.333,10.133,2.01911E+15,41000,41110,0,0,0,2
경기,수원시,농협사거리(갤러리아 수원점),58,1,12,44,1,0,1,18,71,15,1.72,7.533,11.633,9.993,2.01911E+15,41000,41110,0,0,0,8
경기,수원시,효성사거리(효성초 앞),52,1,15,34,2,0,1,18,72,9,1.92,7.233,11.733,9.933,2.01911E+15,41000,41110,0,0,0,5
경기,수원시,서호지구대 부근(북동),58,0,14,42,2,0,0,18,75,4,0,7.467,11.7,10.007,2.01911E+15,41000,41110,0,0,0,4
경기,수원시,우시장 사거리(화홍중 부근),50,0,12,37,1,0,0,16,74,3,0,6.5,11.133,9.28,2.01911E+15,41000,41110,0,0,0,13
경기,수원시,벌터교차로(평동),52,0,13,39,0,0,0,16,70,6,0,6.933,10.733,9.213,2.01911E+15,41000,41110,0,0,0,1
경기,수원시,연무중사거리(수원평생학습관),53,2,15,32,4,0,2,17,51,4,3.77,7.367,9.733,8.787,2.01911E+15,41000,41110,0,0,0,4
경기,수원시,영화초교사거리(영화초),61,0,7,53,1,0,0,8,85,3,0,6.933,10.367,8.993,2.01911E+15,41000,41110,1,0,0,9
경기,수원시,서울대 융함과학기술대학원(북동),50,0,16,33,1,0,0,19,47,2,0,7.033,9.133,8.293,2.01911E+15,41000,41110,0,0,0,9
경기,수원시,광교푸르지오월드마크 앞 삼거리,41,0,13,28,0,0,0,20,51,0,0,5.833,9.767,8.193,2.01911E+15,41000,41110,0,0,0,3
경기,수원시,육교사거리(수원육교),54,0,13,38,3,0,0,13,61,7,0,6.833,9.133,8.213,2.01911E+15,41000,41110,0,0,0,4
경기,수원시,매탄역사거리(화홍고 앞),41,0,14,27,0,0,0,19,48,0,0,5.967,9.233,7.927,2.01911E+15,41000,41110,0,0,0,8
경기,수원시,CGV동수원점 부근(북동),71,0,11,52,8,0,0,11,56,8,0,7.767,8.167,8.007,2.01911E+15,41000,41110,2,0,0,13
경기,수원시,법원사거리(수원정보과고 부근),37,0,13,24,0,0,0,17,51,2,0,5.433,9.067,7.613,2.01911E+15,41000,41110,0,0,0,6
경기,수원시,권선초 사거리(권선초 북동),47,1,8,35,3,0,1,8,64,3,2.13,5.7,8.6,7.44,2.01911E+15,41000,41110,0,1,0,12
경기,수원시,인계주공사거리(동수원우체국),42,0,15,26,1,0,0,15,42,2,0,6.1,7.7,7.06,2.01911E+15,41000,41110,2,1,0,12
경기,수원시,교육청사거리(수원교육지원청),40,0,13,26,1,0,0,13,39,3,0,5.633,6.933,6.413,2.01911E+15,41000,41110,1,0,0,5
경기,수원시,율천동 주민센터 부근(북쪽),41,0,12,27,2,0,0,12,40,3,0,5.5,6.8,6.28,2.01911E+15,41000,41110,1,0,0,2
경기,수원시,수원역광장 교차로,22,0,7,14,1,0,0,7,19,3,0,3.033,3.533,3.333,2.01911E+15,41000,41110,0,0,0,2
경기,수원시,수원역광장 교차로,20,0,5,14,1,0,0,5,19,3,0,2.567,3.067,2.867,2.01911E+15,41000,41110,1,1,0,1
경기,수원시,행정타운사거리(수원서부경찰서),14,0,2,12,0,0,0,2,16,0,0,1.667,2.067,1.907,2.01911E+15,41000,41110,0,0,0,3
경기,수원시,수원역광장 교차로,10,0,4,6,0,0,0,4,10,0,0,1.533,1.933,1.773,2.01911E+15,41000,41110,0,0,0,1
경기,수원시,수원역광장 교차로,13,0,2,11,0,0,0,2,13,0,0,1.567,1.767,1.687,2.01911E+15,41000,41110,0,0,0,2
경기,수원시,CGV동수원점 부근(북동),15,0,1,12,2,0,0,1,14,2,0,1.433,1.633,1.553,2.01911E+15,41000,41110,1,0,0,1
경기,수원시,CGV동수원점 부근(북동),12,0,2,9,1,0,0,2,9,1,0,1.367,1.367,1.367,2.01911E+15,41000,41110,0,0,0,2
경기,수원시,CGV동수원점 부근(북서),8,0,2,6,0,0,0,2,6,0,0,1.067,1.067,1.067,2.01911E+15,41000,41110,0,0,0,1
경기,수원시,수원역광장 교차로,7,0,0,6,1,0,0,0,10,1,0,0.6,1,0.84,2.01911E+15,41000,41110,0,0,0,1
