광역,기초,,건수,사망,중상,경상,부상,"대형
사고",사망,중상,경상,부상,,다발도,심각도,통합지수,,,,,,,
대구,달서구,용산네거리(용산역),65,0,18,42,5,0,0,19,73,17,0,8.4,11.733,10.4,2.01911E+15,27000,27290,0,0,0,5
대구,달서구,성당네거리(성당못역),54,1,14,35,4,0,1,16,57,4,1.85,7.1,9.767,8.7,2.01911E+15,27000,27290,0,0,0,4
대구,달서구,감천네거리,49,1,10,36,2,0,1,10,77,17,2.04,6.267,10.367,8.727,2.01911E+15,27000,27290,0,1,0,1
대구,달서구,월드마크웨스트엔드 부근 삼거리,39,0,21,18,0,0,0,21,40,1,0,6.7,8.9,8.02,2.01911E+15,27000,27290,3,0,0,1
대구,달서구,죽전네거리(죽전역),40,0,11,27,2,0,0,12,57,6,0,5.267,8.5,7.207,2.01911E+15,27000,27290,2,0,0,0
대구,달서구,본리네거리(송이아파트),33,0,13,18,2,0,0,16,48,9,0,4.833,8.533,7.053,2.01911E+15,27000,27290,1,0,0,2
대구,달서구,신당네거리(개명대역),30,1,11,17,1,0,1,14,41,1,3.33,4.6,7.7,6.46,2.01911E+15,27000,27290,1,0,0,4
대구,달서구,문화대삼거리(계명문화대),42,0,10,28,4,0,0,10,48,5,0,5.133,7.133,6.333,2.01911E+15,27000,27290,1,0,0,4
대구,달서구,진천남네거리,38,1,7,28,2,0,1,8,49,3,2.63,4.767,7.1,6.167,2.01911E+15,27000,27290,1,0,0,3
대구,달서구,두류공원 네거리,34,0,14,20,0,0,0,14,36,2,0,5.267,6.867,6.227,2.01911E+15,27000,27290,1,0,0,2
대구,달서구,그린3차 앞 사거리(남동),33,0,10,21,2,0,0,12,45,2,0,4.433,7.3,6.153,2.01911E+15,27000,27290,0,0,0,0
대구,달서구,세강병원 부근사거리,36,0,11,21,4,0,0,12,43,7,0,4.667,7.1,6.127,2.01911E+15,27000,27290,0,1,0,3
대구,달서구,죽전역 부근 사거리(동쪽),32,0,8,24,0,0,0,10,50,1,0,4.267,7.333,6.107,2.01911E+15,27000,27290,0,0,0,7
대구,달서구,월성네거리(조암초 부근),37,0,8,27,2,0,0,9,47,2,0,4.567,6.8,5.907,2.01911E+15,27000,27290,0,0,0,4
대구,달서구,상인네거리(상인역),36,0,8,25,3,0,0,8,49,4,0,4.367,6.767,5.807,2.01911E+15,27000,27290,1,0,0,3
대구,달서구,성서주공5단지 앞 사거리(북동),32,0,7,25,0,0,0,9,47,0,0,4.133,6.8,5.733,2.01911E+15,27000,27290,2,0,0,4
대구,달서구,남대구I.C(장동 854번지),37,0,5,27,5,0,0,5,59,15,0,3.867,7.067,5.787,2.01911E+15,27000,27290,0,0,0,0
대구,달서구,새원의료재단구병원 부근,32,0,8,24,0,0,0,10,41,2,0,4.267,6.433,5.567,2.01911E+15,27000,27290,0,0,0,2
대구,달서구,영남네오빌 앞 삼거리(108동),31,0,8,22,1,0,0,8,45,2,0,4.067,6.367,5.447,2.01911E+15,27000,27290,1,0,0,3
대구,달서구,대우월드마크웨스트엔드 앞 사거리,34,0,8,26,0,0,0,9,39,0,0,4.467,6,5.387,2.01911E+15,27000,27290,1,1,0,2
대구,달서구,삼일병원 앞 사거리(북동),37,0,7,27,3,0,0,7,42,3,0,4.333,5.833,5.233,2.01911E+15,27000,27290,0,0,0,2
대구,달서구,대백창신한라 앞 사거리,31,0,10,19,2,0,0,10,27,3,0,4.233,5.033,4.713,2.01911E+15,27000,27290,0,0,0,0
대구,달서구,죽전네거리(죽전역),20,0,8,11,1,0,0,8,24,4,0,2.967,4.267,3.747,2.01911E+15,27000,27290,1,1,0,3
대구,달서구,죽전네거리(죽전역),20,0,7,12,1,0,0,8,23,1,0,2.833,4.167,3.633,2.01911E+15,27000,27290,0,0,0,3
대구,달서구,죽전네거리(죽전역),18,0,2,15,1,0,0,2,26,5,0,1.967,3.067,2.627,2.01911E+15,27000,27290,0,0,0,0
대구,달서구,성당못역 부근 삼거리(서쪽),11,0,3,7,1,0,0,3,16,1,0,1.4,2.3,1.94,2.01911E+15,27000,27290,0,0,0,1
대구,달서구,성당네거리(성당못역),12,0,3,8,1,0,0,3,11,1,0,1.5,1.8,1.68,2.01911E+15,27000,27290,1,0,0,0
대구,달서구,용산네거리(용산역),6,0,3,3,0,0,0,3,4,0,0,1,1.1,1.06,2.01911E+15,27000,27290,0,0,0,0
대구,달서구,용산네거리(용산역),6,0,2,2,2,0,0,2,5,3,0,0.667,0.967,0.847,2.01911E+15,27000,27290,2,0,0,0
대구,달서구,감천네거리,5,0,0,5,0,0,0,0,11,0,0,0.5,1.1,0.86,2.01911E+15,27000,27290,0,0,0,0
