광역,기초,,건수,사망,중상,경상,부상,"대형
사고",사망,중상,경상,부상,,다발도,심각도,통합지수,,,,,,,
충북,청주시,사창사거리(제이슨타워),78,1,18,59,0,0,2,21,111,1,2.56,10.433,16.667,14.173,2.01911E+15,43000,43110,2,1,0,5
충북,청주시,터미널사거리(청주고속버스),46,0,13,31,2,0,0,13,70,9,0,6.133,10.033,8.473,2.01911E+15,43000,43110,0,0,0,8
충북,청주시,금석교사거리(석교초 남쪽),41,1,13,26,1,0,1,17,55,1,2.44,5.967,9.8,8.267,2.01911E+15,43000,43110,0,0,0,6
충북,청주시,율량2지구9블럭 네거리,32,0,12,20,0,0,0,21,50,0,0,4.8,9.9,7.86,2.01911E+15,43000,43110,0,0,0,4
충북,청주시,석곡사거리,36,0,9,26,1,0,0,12,57,3,0,4.7,8.5,6.98,2.01911E+15,43000,43110,0,0,0,1
충북,청주시,형석아파트2단지(201동),35,1,10,22,2,0,1,12,46,6,2.86,4.867,7.733,6.587,2.01911E+15,43000,43110,1,0,0,4
충북,청주시,모충사거리(남부119안전센터),39,1,10,28,0,0,1,10,44,1,2.56,5.467,7.067,6.427,2.01911E+15,43000,43110,0,3,0,4
충북,청주시,청주시외버스터미널(북서),43,0,5,38,0,0,0,6,62,3,0,4.967,7.6,6.547,2.01911E+15,43000,43110,0,0,0,4
충북,청주시,서청주교사거리(화물터미널부근),41,0,6,35,0,0,0,9,54,1,0,4.9,7.5,6.46,2.01911E+15,43000,43110,0,0,0,4
충북,청주시,금천육거리(금천동주민센터부근),38,1,9,27,1,0,1,9,45,2,2.63,5.133,6.933,6.213,2.01911E+15,43000,43110,0,0,0,0
충북,청주시,내덕칠거리(내덕동우체국 북쪽),35,0,12,23,0,0,0,13,39,0,0,5.1,6.933,6.2,2.01911E+15,43000,43110,1,0,0,1
충북,청주시,사천교 남단 부근 사거리,33,1,7,25,0,0,1,7,51,0,3.03,4.467,7.067,6.027,2.01911E+15,43000,43110,0,0,0,3
충북,청주시,사창동 주민센터 북동 삼거리,43,0,7,35,1,0,0,7,51,2,0,5.133,6.733,6.093,2.01911E+15,43000,43110,0,1,0,2
충북,청주시,청주하나병원 사거리(남쪽),35,0,7,28,0,0,0,9,49,0,0,4.433,7,5.973,2.01911E+15,43000,43110,0,0,0,4
충북,청주시,율량교차로(율량중 부근),25,3,5,17,0,0,3,7,39,0,12,3.867,6.533,5.467,2.01911E+15,43000,43110,0,0,0,2
충북,청주시,석교육거리(육거리시장 부근),31,0,8,23,0,0,0,10,46,0,0,4.167,6.933,5.827,2.01911E+15,43000,43110,1,0,0,2
충북,청주시,율량교사거리,31,0,6,25,0,0,0,6,57,0,0,3.9,7.1,5.82,2.01911E+15,43000,43110,1,0,0,3
충북,청주시,산남사거리(청주교육지원청),40,0,7,32,1,0,0,7,48,2,0,4.833,6.433,5.793,2.01911E+15,43000,43110,0,0,0,7
충북,청주시,내덕삼거리(대성초 서쪽),27,0,11,14,2,0,0,13,38,2,0,3.967,6.833,5.687,2.01911E+15,43000,43110,1,1,0,1
충북,청주시,산업단지육거리교차로(복대시장),39,0,7,31,1,0,0,7,48,1,0,4.733,6.433,5.753,2.01911E+15,43000,43110,1,0,0,1
충북,청주시,제2운천교 동단 사거리,30,0,12,18,0,0,0,13,31,0,0,4.6,6.133,5.52,2.01911E+15,43000,43110,0,0,0,2
충북,청주시,충대사거리(복대공원 남서),32,0,11,19,2,0,0,12,34,2,0,4.467,6.2,5.507,2.01911E+15,43000,43110,0,0,0,4
충북,청주시,봉명1동사거리(1동주민센터),29,0,8,21,0,0,0,10,40,2,0,3.967,6.333,5.387,2.01911E+15,43000,43110,2,0,0,7
충북,청주시,죽림사거리(죽림초 부근),29,0,10,17,2,0,0,13,31,7,0,4.033,6.133,5.293,2.01911E+15,43000,43110,0,0,0,5
충북,청주시,청남교사거리(청남교 븍단),31,0,7,24,0,0,0,8,42,0,0,4.033,6.067,5.253,2.01911E+15,43000,43110,0,0,0,5
충북,청주시,충북 선거관리위원회(동쪽),32,0,6,25,1,0,0,7,44,2,0,3.9,6.033,5.18,2.01911E+15,43000,43110,3,0,0,8
충북,청주시,모충동주민센터 부근(북동),26,1,8,16,1,0,1,8,27,1,3.85,3.8,4.9,4.46,2.01911E+15,43000,43110,0,0,0,1
충북,청주시,사창사거리(제이슨타워),9,0,4,5,0,0,0,5,16,0,0,1.433,2.767,2.233,2.01911E+15,43000,43110,0,0,0,3
충북,청주시,사창사거리(제이슨타워),10,0,4,6,0,0,0,4,6,0,0,1.533,1.533,1.533,2.01911E+15,43000,43110,0,0,0,0
충북,청주시,사창사거리(제이슨타워),7,0,0,7,0,0,0,0,10,0,0,0.7,1,0.88,2.01911E+15,43000,43110,0,0,0,0
